,geometry,x,y
53,"(34.794611891296924, 32.07400768431847)",34.794611891296924,32.07400768431847
54,"(34.79434502670076, 32.07387551208394)",34.79434502670076,32.07387551208394
55,"(34.79465731544779, 32.07502785016273)",34.79465731544779,32.07502785016273
56,"(34.79463754549985, 32.074805924427764)",34.79463754549985,32.074805924427764
57,"(34.79466057198216, 32.07485692353435)",34.79466057198216,32.07485692353435
58,"(34.79476741784761, 32.0752878456401)",34.79476741784761,32.0752878456401
59,"(34.7942208555148, 32.07473199511299)",34.7942208555148,32.07473199511299
60,"(34.7946229425023, 32.07481012894326)",34.7946229425023,32.07481012894326
61,"(34.79438453375355, 32.07524534774195)",34.79438453375355,32.07524534774195
62,"(34.79556178642923, 32.07621944993655)",34.79556178642923,32.07621944993655
63,"(34.798980363864125, 32.07315938394545)",34.798980363864125,32.07315938394545
64,"(34.79826810869292, 32.0742371864844)",34.79826810869292,32.0742371864844
65,"(34.79783837084877, 32.07435223573051)",34.79783837084877,32.07435223573051
66,"(34.79798623447006, 32.07435027930864)",34.79798623447006,32.07435027930864
67,"(34.79784793792053, 32.074057066773825)",34.79784793792053,32.074057066773825
68,"(34.79913450273516, 32.07417173165413)",34.79913450273516,32.07417173165413
69,"(34.79906905014741, 32.07398252113501)",34.79906905014741,32.07398252113501
70,"(34.79672569273944, 32.07426698911273)",34.79672569273944,32.07426698911273
71,"(34.79677255731541, 32.074043404662234)",34.79677255731541,32.074043404662234
72,"(34.79692000320436, 32.07403378731465)",34.79692000320436,32.07403378731465
73,"(34.796284837057904, 32.074128649772824)",34.796284837057904,32.074128649772824
74,"(34.79626179797466, 32.07412656929854)",34.79626179797466,32.07412656929854
75,"(34.796328362876515, 32.07413941255231)",34.796328362876515,32.07413941255231
76,"(34.79643232670463, 32.07435712034738)",34.79643232670463,32.07435712034738
77,"(34.796107130653084, 32.07448249697358)",34.796107130653084,32.07448249697358
78,"(34.796024204855456, 32.074755896558834)",34.796024204855456,32.074755896558834
79,"(34.79617881003622, 32.07497343078393)",34.79617881003622,32.07497343078393
80,"(34.79880751800029, 32.07402989761473)",34.79880751800029,32.07402989761473
81,"(34.79880173227446, 32.07426650073909)",34.79880173227446,32.07426650073909
82,"(34.79805809550493, 32.074549498007435)",34.79805809550493,32.074549498007435
83,"(34.79687641612618, 32.07455844108323)",34.79687641612618,32.07455844108323
84,"(34.79712924648609, 32.074442021330576)",34.79712924648609,32.074442021330576
85,"(34.80013969041922, 32.07360873962676)",34.80013969041922,32.07360873962676
