,geometry,x,y
39,"(34.77333278650269, 32.06765160690636)",34.77333278650269,32.06765160690636
40,"(34.78113256635831, 32.06606044715481)",34.78113256635831,32.06606044715481
41,"(34.769730544529644, 32.04826921834465)",34.769730544529644,32.04826921834465
42,"(34.791687728132594, 32.11729398860244)",34.791687728132594,32.11729398860244
43,"(34.75096400352217, 32.03614455595661)",34.75096400352217,32.03614455595661
44,"(34.75370147263463, 32.0439084598738)",34.75370147263463,32.0439084598738
45,"(34.757062703195835, 32.0516795504397)",34.757062703195835,32.0516795504397
46,"(34.753317331721945, 32.03300930153278)",34.753317331721945,32.03300930153278
47,"(34.768299137765474, 32.04029850590211)",34.768299137765474,32.04029850590211
48,"(34.77289913737474, 32.055984312190915)",34.77289913737474,32.055984312190915
49,"(34.77712063600102, 32.04379295604982)",34.77712063600102,32.04379295604982
50,"(34.8002692691776, 32.07506081963266)",34.8002692691776,32.07506081963266
51,"(34.797662606350094, 32.06730105891301)",34.797662606350094,32.06730105891301
52,"(34.79684088640418, 32.060547255609144)",34.79684088640418,32.060547255609144
53,"(34.79638174399641, 32.05121394985144)",34.79638174399641,32.05121394985144
54,"(34.81021405511224, 32.05671797781378)",34.81021405511224,32.05671797781378
55,"(34.796842156772755, 32.05710791860763)",34.796842156772755,32.05710791860763
56,"(34.794136730689374, 32.051155392380686)",34.794136730689374,32.051155392380686
57,"(34.81034760701647, 32.05357474515727)",34.81034760701647,32.05357474515727
58,"(34.8008180634722, 32.04788854203427)",34.8008180634722,32.04788854203427
59,"(34.76034076026065, 32.039644769800205)",34.76034076026065,32.039644769800205
60,"(34.793424706296584, 32.10807719022012)",34.793424706296584,32.10807719022012
61,"(34.778176955345444, 32.04441009093554)",34.778176955345444,32.04441009093554
62,"(34.78875304172068, 32.095193117299175)",34.78875304172068,32.095193117299175
63,"(34.78593543904184, 32.078678351201994)",34.78593543904184,32.078678351201994
64,"(34.76077549435659, 32.039485051156774)",34.76077549435659,32.039485051156774
65,"(34.77951160851656, 32.05303191141573)",34.77951160851656,32.05303191141573
66,"(34.79157245587221, 32.0562198258026)",34.79157245587221,32.0562198258026
67,"(34.803427245078865, 32.06132215968003)",34.803427245078865,32.06132215968003
68,"(34.79336866605683, 32.04728980660258)",34.79336866605683,32.04728980660258
69,"(34.80703083644809, 32.04883791587242)",34.80703083644809,32.04883791587242
70,"(34.753947700462625, 32.0402841341351)",34.753947700462625,32.0402841341351
71,"(34.839416379120244, 32.11633613375786)",34.839416379120244,32.11633613375786
72,"(34.839591684474186, 32.11664369666644)",34.839591684474186,32.11664369666644
73,"(34.79383748111901, 32.088705113719314)",34.79383748111901,32.088705113719314
74,"(34.787068027593726, 32.085478136055116)",34.787068027593726,32.085478136055116
75,"(34.775086607053055, 32.06516636812337)",34.775086607053055,32.06516636812337
76,"(34.78192677938369, 32.05199219210667)",34.78192677938369,32.05199219210667
77,"(34.747301968368504, 32.03580450849992)",34.747301968368504,32.03580450849992
78,"(34.802594946533986, 32.04757395933576)",34.802594946533986,32.04757395933576
79,"(34.78957082353787, 32.04711195791953)",34.78957082353787,32.04711195791953
80,"(34.80434172786923, 32.12759453753838)",34.80434172786923,32.12759453753838
81,"(34.8274106308714, 32.12216282810918)",34.8274106308714,32.12216282810918
82,"(34.81200867106898, 32.11336720225634)",34.81200867106898,32.11336720225634
83,"(34.79492095240595, 32.11543058021862)",34.79492095240595,32.11543058021862
84,"(34.79530426271382, 32.13247098603124)",34.79530426271382,32.13247098603124
85,"(34.76518621815959, 32.064767040984876)",34.76518621815959,32.064767040984876
86,"(34.75505043947578, 32.045597522880804)",34.75505043947578,32.045597522880804
87,"(34.79310313266501, 32.1336211088538)",34.79310313266501,32.1336211088538
88,"(34.79609252627244, 32.06455222391119)",34.79609252627244,32.06455222391119
89,"(34.79362283829044, 32.061757170483304)",34.79362283829044,32.061757170483304
90,"(34.80018657420891, 32.04567641599062)",34.80018657420891,32.04567641599062
91,"(34.79953752458521, 32.052871641861145)",34.79953752458521,32.052871641861145
92,"(34.79663610407076, 32.05447916490349)",34.79663610407076,32.05447916490349
93,"(34.807775789366914, 32.06030788965972)",34.807775789366914,32.06030788965972
94,"(34.748703615795144, 32.04683665444995)",34.748703615795144,32.04683665444995
95,"(34.74916076579828, 32.04237290017315)",34.74916076579828,32.04237290017315
96,"(34.75260689138093, 32.042235258784)",34.75260689138093,32.042235258784
97,"(34.791966037282364, 32.07149102937066)",34.791966037282364,32.07149102937066
98,"(34.78786841821352, 32.08129079618827)",34.78786841821352,32.08129079618827
99,"(34.792627426068016, 32.056340580213934)",34.792627426068016,32.056340580213934
100,"(34.791966037282364, 32.07149102937066)",34.791966037282364,32.07149102937066
101,"(34.80279432384865, 32.04754852925054)",34.80279432384865,32.04754852925054
102,"(34.791966037282364, 32.07149102937066)",34.791966037282364,32.07149102937066
103,"(34.79494568188599, 32.053391385662614)",34.79494568188599,32.053391385662614
104,"(34.79494568188599, 32.053391385662614)",34.79494568188599,32.053391385662614
105,"(34.76450519492072, 32.03908890233854)",34.76450519492072,32.03908890233854
106,"(34.76356955341055, 32.043146061093275)",34.76356955341055,32.043146061093275
107,"(34.793378998334106, 32.06307452705706)",34.793378998334106,32.06307452705706
108,"(34.776838367809326, 32.0675877316645)",34.776838367809326,32.0675877316645
109,"(34.79306085282068, 32.06220534136315)",34.79306085282068,32.06220534136315
110,"(34.79397980868782, 32.1328366095671)",34.79397980868782,32.1328366095671
111,"(34.817630241524405, 32.12144049118382)",34.817630241524405,32.12144049118382
112,"(34.79548079734006, 32.1074048922094)",34.79548079734006,32.1074048922094
113,"(34.81798999478448, 32.11658638674173)",34.81798999478448,32.11658638674173
114,"(34.768226423928056, 32.04261649273587)",34.768226423928056,32.04261649273587
115,"(34.83988329158056, 32.113096101964786)",34.83988329158056,32.113096101964786
116,"(34.791929742161535, 32.095256886362165)",34.791929742161535,32.095256886362165
117,"(34.78550936704146, 32.08721840042913)",34.78550936704146,32.08721840042913
118,"(34.795137384831804, 32.089616607188674)",34.795137384831804,32.089616607188674
119,"(34.77532698382212, 32.09548426793087)",34.77532698382212,32.09548426793087
120,"(34.78403547069083, 32.071514028731094)",34.78403547069083,32.071514028731094
121,"(34.754534562099934, 32.04365792512385)",34.754534562099934,32.04365792512385
122,"(34.77289913737474, 32.055984312190915)",34.77289913737474,32.055984312190915
123,"(34.80332375651209, 32.056256018918646)",34.80332375651209,32.056256018918646
124,"(34.802708395397, 32.05757248981498)",34.802708395397,32.05757248981498
125,"(34.78826003525196, 32.056868564778846)",34.78826003525196,32.056868564778846
126,"(34.78443179783439, 32.07229719348921)",34.78443179783439,32.07229719348921
127,"(34.778960201003805, 32.069883521957124)",34.778960201003805,32.069883521957124
128,"(34.785330087894785, 32.07894300922919)",34.785330087894785,32.07894300922919
129,"(34.801121951407985, 32.06852466060331)",34.801121951407985,32.06852466060331
130,"(34.74790824109841, 32.040375168127575)",34.74790824109841,32.040375168127575
131,"(34.749284386081044, 32.03807964530082)",34.749284386081044,32.03807964530082
132,"(34.75244944289674, 32.04971478021277)",34.75244944289674,32.04971478021277
133,"(34.748719440050166, 32.040992566548375)",34.748719440050166,32.040992566548375
134,"(34.78403547069083, 32.071514028731094)",34.78403547069083,32.071514028731094
135,"(34.79075365087869, 32.09236544303926)",34.79075365087869,32.09236544303926
136,"(34.77532698382212, 32.09548426793087)",34.77532698382212,32.09548426793087
137,"(34.802708395397, 32.05757248981498)",34.802708395397,32.05757248981498
138,"(34.749284386081044, 32.03807964530082)",34.749284386081044,32.03807964530082
139,"(34.79397980868782, 32.1328366095671)",34.79397980868782,32.1328366095671
140,"(34.754534562099934, 32.04365792512385)",34.754534562099934,32.04365792512385
141,"(34.757062703195835, 32.0516795504397)",34.757062703195835,32.0516795504397
142,"(34.785330087894785, 32.07894300922919)",34.785330087894785,32.07894300922919
143,"(34.78826003525196, 32.056868564778846)",34.78826003525196,32.056868564778846
144,"(34.778960201003805, 32.069883521957124)",34.778960201003805,32.069883521957124
145,"(34.78443179783439, 32.07229719348921)",34.78443179783439,32.07229719348921
146,"(34.80989803211388, 32.053964634614616)",34.80989803211388,32.053964634614616
147,"(34.77289913737474, 32.055984312190915)",34.77289913737474,32.055984312190915
148,"(34.76800234767442, 32.07138056457637)",34.76800234767442,32.07138056457637
149,"(34.817630241524405, 32.12144049118382)",34.817630241524405,32.12144049118382
150,"(34.7878162828862, 32.09336717073816)",34.7878162828862,32.09336717073816
151,"(34.7878162828862, 32.09336717073816)",34.7878162828862,32.09336717073816
152,"(34.74790824109841, 32.040375168127575)",34.74790824109841,32.040375168127575
153,"(34.75244944289674, 32.04971478021277)",34.75244944289674,32.04971478021277
154,"(34.748719440050166, 32.040992566548375)",34.748719440050166,32.040992566548375
155,"(34.801121951407985, 32.06852466060331)",34.801121951407985,32.06852466060331
156,"(34.775912980200125, 32.06618115230812)",34.775912980200125,32.06618115230812
157,"(34.841258153687264, 32.110933241333996)",34.841258153687264,32.110933241333996
158,"(34.78786841821352, 32.08129079618827)",34.78786841821352,32.08129079618827
159,"(34.75966117419701, 32.04820697039664)",34.75966117419701,32.04820697039664
160,"(34.79272354746282, 32.055637134489345)",34.79272354746282,32.055637134489345
161,"(34.788427735889115, 32.06745180368732)",34.788427735889115,32.06745180368732
162,"(34.77549300434991, 32.06631112239048)",34.77549300434991,32.06631112239048
163,"(34.768226423928056, 32.04261649273587)",34.768226423928056,32.04261649273587
164,"(34.80332375651209, 32.056256018918646)",34.80332375651209,32.056256018918646
165,"(34.793378998334106, 32.06307452705706)",34.793378998334106,32.06307452705706
166,"(34.78500860788043, 32.046479941917475)",34.78500860788043,32.046479941917475
167,"(34.76822428122142, 32.06204168526084)",34.76822428122142,32.06204168526084
168,"(34.83863342151323, 32.116899744697484)",34.83863342151323,32.116899744697484
169,"(34.76482239919345, 32.04380439020632)",34.76482239919345,32.04380439020632
170,"(34.77081108351886, 32.081215809409144)",34.77081108351886,32.081215809409144
171,"(34.791063073813326, 32.073043853714466)",34.791063073813326,32.073043853714466
172,"(34.76581234729501, 32.06513371220051)",34.76581234729501,32.06513371220051
173,"(34.788427735889115, 32.06745180368732)",34.788427735889115,32.06745180368732
174,"(34.77245015569953, 32.07380934802369)",34.77245015569953,32.07380934802369
175,"(34.78798337896453, 32.08212325330203)",34.78798337896453,32.08212325330203
176,"(34.81798999478448, 32.11658638674173)",34.81798999478448,32.11658638674173
177,"(34.78550936704146, 32.08721840042913)",34.78550936704146,32.08721840042913
178,"(34.795137384831804, 32.089616607188674)",34.795137384831804,32.089616607188674
179,"(34.75684153613141, 32.04049079201727)",34.75684153613141,32.04049079201727
180,"(34.77549300434991, 32.06631112239048)",34.77549300434991,32.06631112239048
181,"(34.770092469249676, 32.07506857166556)",34.770092469249676,32.07506857166556
182,"(34.79548079734006, 32.1074048922094)",34.79548079734006,32.1074048922094
183,"(34.79619159307234, 32.047226603541)",34.79619159307234,32.047226603541
184,"(34.83416970232168, 32.11257804458839)",34.83416970232168,32.11257804458839
185,"(34.75326357238804, 32.049757719453)",34.75326357238804,32.049757719453
186,"(34.75235336290827, 32.04638511800559)",34.75235336290827,32.04638511800559
187,"(34.75278433230914, 32.051140982204885)",34.75278433230914,32.051140982204885
188,"(34.75278433230914, 32.051140982204885)",34.75278433230914,32.051140982204885
189,"(34.753720485591266, 32.05286231353951)",34.753720485591266,32.05286231353951
190,"(34.7545135551548, 32.05360126147861)",34.7545135551548,32.05360126147861
191,"(34.754767033597055, 32.04595993978415)",34.754767033597055,32.04595993978415
192,"(34.78020497016156, 32.04196338559127)",34.78020497016156,32.04196338559127
193,"(34.77350055191907, 32.07397172889055)",34.77350055191907,32.07397172889055
194,"(34.75329703393492, 32.05210979690179)",34.75329703393492,32.05210979690179
195,"(34.754767033597055, 32.04595993978415)",34.754767033597055,32.04595993978415
196,"(34.78550936704146, 32.08721840042913)",34.78550936704146,32.08721840042913
197,"(34.76479868101296, 32.061035718252604)",34.76479868101296,32.061035718252604
198,"(34.79494568188599, 32.053391385662614)",34.79494568188599,32.053391385662614
199,"(34.83924074925181, 32.11664268519588)",34.83924074925181,32.11664268519588
200,"(34.75494477684174, 32.051706237002094)",34.75494477684174,32.051706237002094
201,"(34.764443922561476, 32.07130188935432)",34.764443922561476,32.07130188935432
202,"(34.77967295002161, 32.093955147796734)",34.77967295002161,32.093955147796734
203,"(34.77245015569953, 32.07380934802369)",34.77245015569953,32.07380934802369
204,"(34.77245015569953, 32.07380934802369)",34.77245015569953,32.07380934802369
