,geometry,x,y
83,"(34.79814396149757, 32.061142562748884)",34.79814396149757,32.061142562748884
84,"(34.788373320713326, 32.08305900232426)",34.788373320713326,32.08305900232426
85,"(34.800116674384554, 32.09624520507531)",34.800116674384554,32.09624520507531
86,"(34.77930233353727, 32.086640268873936)",34.77930233353727,32.086640268873936
87,"(34.76648881829184, 32.03982520128752)",34.76648881829184,32.03982520128752
88,"(34.82476906763875, 32.11124040689918)",34.82476906763875,32.11124040689918
89,"(34.80593239092193, 32.044531624703886)",34.80593239092193,32.044531624703886
90,"(34.84000576924778, 32.1167760444935)",34.84000576924778,32.1167760444935
91,"(34.80091581037697, 32.11898751773645)",34.80091581037697,32.11898751773645
92,"(34.80171368450636, 32.12460322923102)",34.80171368450636,32.12460322923102
93,"(34.7987068954611, 32.06848296428641)",34.7987068954611,32.06848296428641
94,"(34.77200840690861, 32.079225049347)",34.77200840690861,32.079225049347
95,"(34.75473524061728, 32.03244798450876)",34.75473524061728,32.03244798450876
96,"(34.75005772184534, 32.03802044752972)",34.75005772184534,32.03802044752972
97,"(34.78742001461753, 32.053653732471965)",34.78742001461753,32.053653732471965
98,"(34.79319108393208, 32.05633948815418)",34.79319108393208,32.05633948815418
99,"(34.798770365938466, 32.04925017070737)",34.798770365938466,32.04925017070737
100,"(34.77773418538301, 32.052891899341525)",34.77773418538301,32.052891899341525
101,"(34.78058595556881, 32.043969497747355)",34.78058595556881,32.043969497747355
102,"(34.78611851498418, 32.09289161977006)",34.78611851498418,32.09289161977006
103,"(34.79818146341675, 32.108038032527055)",34.79818146341675,32.108038032527055
104,"(34.810463020185644, 32.057495095496215)",34.810463020185644,32.057495095496215
105,"(34.81685025282047, 32.1185165084663)",34.81685025282047,32.1185165084663
106,"(34.765650958344466, 32.07378115621571)",34.765650958344466,32.07378115621571
107,"(34.76043114896499, 32.05386048572571)",34.76043114896499,32.05386048572571
108,"(34.77268211853455, 32.06789954828346)",34.77268211853455,32.06789954828346
109,"(34.779173713132685, 32.090893751038834)",34.779173713132685,32.090893751038834
110,"(34.75990916882841, 32.05214749193098)",34.75990916882841,32.05214749193098
111,"(34.80147637043223, 32.125036547009074)",34.80147637043223,32.125036547009074
112,"(34.7939762953819, 32.06940562999138)",34.7939762953819,32.06940562999138
113,"(34.77122699641189, 32.068360185552265)",34.77122699641189,32.068360185552265
114,"(34.78368902052729, 32.071748832058)",34.78368902052729,32.071748832058
115,"(34.79762249408766, 32.111780129577184)",34.79762249408766,32.111780129577184
116,"(34.80975336954341, 32.05309604674999)",34.80975336954341,32.05309604674999
117,"(34.75625803561373, 32.05043427614452)",34.75625803561373,32.05043427614452
118,"(34.78389575843619, 32.0724140011292)",34.78389575843619,32.0724140011292
119,"(34.79877367538779, 32.05594320997801)",34.79877367538779,32.05594320997801
120,"(34.77943005512561, 32.090094528854834)",34.77943005512561,32.090094528854834
121,"(34.79277980142428, 32.04916905307945)",34.79277980142428,32.04916905307945
